mu,sigma,pstar_true,pistar_true,CLferror,CRferror1,CRferror2,CRferror3,CRferror4,CRferror5,estcr1,estcr2,estcr3,estcr4,estcr5,eprice_T,beta1_T,beta2_T,,True World
10,11.068,12.0433678,10.2793462,0.000407453,0.019379077,0.000223537,0.004656298,0.072986675,0.015048975,12.02398872,12.04314426,12.0387115,11.97038112,12.02831882,12.04377525,1.707305202,-0.070881231,,
10,11.069,12.04405463,10.27950379,0.048557798,0.029207455,-0.009796505,-0.067037239,0.055882806,-0.000594298,12.01484717,12.05385113,12.11109187,11.98817182,12.04464893,12.09261242,1.700919797,-0.070329306,,
10,11.07,12.04474146,10.27966142,0.021071891,0.083665323,0.066326687,0.049064485,0.077067612,-0.011711618,11.96107613,11.97841477,11.99567697,11.96767385,12.05645308,12.06581335,1.704970186,-0.070653841,,
10,11.071,12.04542833,10.27981907,0.025471871,-0.043711955,0.019987124,-0.085761063,0.012378278,-0.015071855,12.08914028,12.0254412,12.13118939,12.03305005,12.06050018,12.0709002,1.703952966,-0.070577586,,
10,11.072,12.04611516,10.27997676,0.016933597,0.11880389,-0.059649379,-0.073580156,0.017012521,-0.09635244,11.92731127,12.10576454,12.11969531,12.02910264,12.1424676,12.06304875,1.705800614,-0.070704425,,
10,11.073,12.04680203,10.28013449,0.04122774,0.066848481,0.091179682,-0.00023671,-0.024953313,0.02847556,11.97995354,11.95562234,12.04703874,12.07175534,12.01832647,12.08802977,1.70206942,-0.070404107,,
10,11.074,12.04748893,10.28029224,0.019530654,-0.040055722,-0.136205996,0.035445595,0.063558712,-0.05663401,12.08754466,12.18369493,12.01204334,11.98393022,12.10412294,12.06701959,1.704553744,-0.070630789,,
10,11.075,12.0481758,10.28045003,0.003469544,-0.104543995,-0.046371861,-0.004279449,-0.046680382,0.01265981,12.1527198,12.09454766,12.05245525,12.09485618,12.03551599,12.05164535,1.706720596,-0.070807216,,
10,11.076,12.04886271,10.28060785,0.004399122,-0.018998453,0.011842974,-0.012246817,0.011675537,-0.093275125,12.06786116,12.03701974,12.06110953,12.03718717,12.14213784,12.05326183,1.706784094,-0.070806018,,
10,11.077,12.04954962,10.2807657,0.033737241,0.007640895,0.03207555,0.046966431,0.031883843,0.078846133,12.04190872,12.01747407,12.00258319,12.01766578,11.97070349,12.08328686,1.702592404,-0.070450846,,
10,11.078,12.05023657,10.28092358,0.016647732,-0.026007294,0.071409208,0.105540563,0.028683456,-0.044035479,12.07624386,11.97882736,11.944696,12.02155311,12.09427205,12.0668843,1.704415645,-0.070627168,,
10,11.079,12.05092351,10.28108149,0.005609936,0.066389661,0.114413183,-0.033374169,-0.023495889,0.08820895,11.98453385,11.93651033,12.08429768,12.0744194,11.96271456,12.05653345,1.706590613,-0.070774742,,
10,11.08,12.05161046,10.28123944,-0.006161001,-0.104141177,-0.067967027,-0.050380924,-0.015619137,-0.032677215,12.15575164,12.11957749,12.10199138,12.0672296,12.08428768,12.04544946,1.707892317,-0.070891351,,
10,11.081,12.05229741,10.28139742,0.011015524,-0.027553372,0.012492538,-0.149834486,-0.072729541,-0.010499422,12.07985078,12.03980487,12.20213189,12.12502695,12.06279683,12.06331293,1.70504008,-0.070674685,,
10,11.082,12.05298439,10.28155543,-0.003168296,0.012954929,-0.023943763,0.059974802,0.040010174,0.040604369,12.04002947,12.07692816,11.99300959,12.01297422,12.01238002,12.0498161,1.70677127,-0.070820069,,
10,11.083,12.05367138,10.28171347,0.112801453,0.046420691,-0.142499913,0.002950052,0.029561394,0.043813978,12.00725069,12.19617129,12.05072133,12.02410999,12.0098574,12.16647283,1.691576846,-0.069518222,,
10,11.084,12.05435837,10.28187155,-0.003703376,-0.046829543,-0.103112572,0.011932195,0.001422256,0.066542142,12.10118791,12.15747094,12.04242617,12.05293611,11.98781623,12.05065499,1.707882507,-0.07085916,,
10,11.085,12.05504539,10.28202966,0.024464796,-0.027609427,-0.045350257,-0.017714264,-0.066155129,-0.036992483,12.08265482,12.10039565,12.07275966,12.12120052,12.09203788,12.07951019,1.703263946,-0.070504229,,
10,11.086,12.05573242,10.2821878,0.062272571,-0.026659385,-0.062889472,-0.021836369,0.0582771,-0.064083032,12.0823918,12.11862189,12.07756879,11.99745532,12.11981545,12.11800499,1.697323105,-0.070029298,,
10,11.087,12.05641944,10.28234597,-0.020668493,-0.06370504,-0.058124842,-0.017639811,-0.003048321,0.011664181,12.12012448,12.11454429,12.07405925,12.05946776,12.04475526,12.03575095,1.708583367,-0.070979583,,
10,11.088,12.05710651,10.28250417,0.015742987,-0.142648012,0.015752532,0.070990095,-0.116954185,-0.022011985,12.19975452,12.04135398,11.98611641,12.17406069,12.07911849,12.07284949,1.704137652,-0.070575711,,
10,11.089,12.05779355,10.28266241,0.052224713,-0.038067349,0.071938416,-0.047071583,-0.034172979,-0.001382803,12.0958609,11.98585514,12.10486514,12.09196653,12.05917636,12.11001827,1.69891202,-0.070144144,,
10,11.09,12.05848064,10.28282067,-0.004807096,-0.108770567,-0.042397378,0.091038058,0.040432115,0.02331702,12.1672512,12.10087802,11.96744258,12.01804852,12.03516362,12.05367354,1.706614298,-0.070789386,,
10,11.091,12.0591677,10.28297897,0.017591848,-0.059658249,-0.054944904,-0.041371539,0.059568858,-0.058523732,12.11882595,12.11411261,12.10053924,11.99959884,12.11769143,12.07675955,1.703743086,-0.070540294,,
10,11.092,12.05985481,10.2831373,-0.058600628,-0.003369551,0.054135999,-0.03471371,-0.126528238,0.048973014,12.06322436,12.00571881,12.09456852,12.18638304,12.01088179,12.00125418,1.714239445,-0.071418015,,
10,11.093,12.06054191,10.28329567,-0.018128495,0.111423073,0.04777054,-0.032329853,-0.010456962,-0.117772182,11.94911884,12.01277137,12.09287176,12.07099887,12.17831409,12.04241341,1.708224159,-0.070925493,,
10,11.094,12.06122901,10.28345406,0.040152865,0.124635081,0.021420701,-0.031109181,0.063923741,0.040856403,11.93659393,12.03980831,12.09233819,11.99730527,12.02037261,12.10138188,1.700510191,-0.070261433,,
10,11.095,12.06191616,10.28361249,-0.008649378,0.117234035,-0.023694728,0.00975582,-0.013619671,-0.028812929,11.94468212,12.08561088,12.05216034,12.07553583,12.09072908,12.05326678,1.706660901,-0.070792383,,
10,11.096,12.0626033,10.28377095,0.020800439,0.048803663,0.038463801,0.023188801,-0.052609771,-0.047185386,12.01379964,12.0241395,12.0394145,12.11521307,12.10978868,12.08340374,1.702246121,-0.070437113,,
10,11.097,12.06329044,10.28392944,0.050447497,-0.006951008,-0.06604593,0.013718181,-0.063027485,0.063349534,12.07024145,12.12933637,12.04957226,12.12631793,11.99994091,12.11373794,1.698574273,-0.070111806,,
10,11.098,12.06397762,10.28408796,-0.007310345,0.023681493,-0.014588514,0.117551586,-0.016963538,0.021321622,12.04029613,12.07856614,11.94642604,12.08094116,12.042656,12.05666728,1.7064482,-0.070768681,,
10,11.099,12.06466481,10.28424652,0.050541939,-0.016991235,-0.062449498,0.066757109,0.009103944,0.04211183,12.08165604,12.1271143,11.9979077,12.05556086,12.02255297,12.11520674,1.698666311,-0.070106476,,
10,11.1,12.06535199,10.2844051,-0.016696706,0.147629689,0.039523411,-0.101366287,0.029397368,-0.038426538,11.9177223,12.02582858,12.16671827,12.03595462,12.10377853,12.04865528,1.707384644,-0.070855905,,
10,11.101,12.06603917,10.28456372,0.014574236,-0.072371456,-0.003550835,-0.010400822,-0.077827353,0.057013029,12.13841063,12.06959,12.07643999,12.14386652,12.00902614,12.0806134,1.704094868,-0.070529211,,
10,11.102,12.06672639,10.28472237,0.018517091,0.123651531,-0.056620488,-0.000956213,0.003926122,-0.047556876,11.94307486,12.12334688,12.0676826,12.06280027,12.11428327,12.08524348,1.702379431,-0.070432745,,
10,11.103,12.06741361,10.28488105,0.015902748,0.062780023,-0.035368119,0.021660332,0.030316977,0.102108564,12.00463359,12.10278173,12.04575328,12.03709663,11.96530505,12.08331636,1.703229799,-0.070475655,,
10,11.104,12.06810083,10.28503977,0.005911744,-0.027975209,-0.051519545,-0.016354585,-0.030152045,-0.099253113,12.09607604,12.11962038,12.08445542,12.09825288,12.16735395,12.07401258,1.704643187,-0.070591708,,
10,11.105,12.06878809,10.28519851,-0.005924262,0.115452612,-0.016226038,0.049167416,-0.086180316,0.031246858,11.95333548,12.08501413,12.01962068,12.15496841,12.03754123,12.06286383,1.706594481,-0.070739014,,
10,11.106,12.06947535,10.28535729,0.023702238,-0.075617226,-0.027100612,0.030288803,-0.068755021,-0.056120163,12.14509258,12.09657596,12.03918655,12.13823037,12.12559552,12.09317759,1.701955539,-0.070369705,,
10,11.107,12.07016261,10.2855161,-0.034500037,0.012120544,-0.095141091,0.022129604,-0.05537519,0.028683326,12.05804207,12.1653037,12.04803301,12.1255378,12.04147929,12.03566258,1.709267152,-0.071004995,,
10,11.108,12.07084991,10.28567494,-0.00650066,-0.021900365,-0.15133175,-0.047191122,0.022907716,0.075962554,12.09275028,12.22218166,12.11804103,12.0479422,11.99488736,12.06434925,1.706191138,-0.070714235,,
10,11.109,12.07153721,10.28583382,-0.013429908,-0.030697701,-0.080167836,-0.018764546,-0.022532839,0.069806431,12.10223491,12.15170505,12.09030176,12.09407005,12.00173078,12.0581073,1.706858877,-0.070777133,,
10,11.11,12.07222451,10.28599272,0.007395632,0.049659265,0.044323687,0.073069111,0.009698245,-0.019594838,12.02256525,12.02790082,11.9991554,12.06252627,12.09181935,12.07962014,1.703556234,-0.070516488,,
10,11.111,12.07291185,10.28615166,-0.012215397,0.009314947,-0.053343398,0.117751476,0.021364967,-0.105728273,12.0635969,12.12625525,11.95516037,12.05154688,12.17864012,12.06069645,1.706441091,-0.070745314,,
10,11.112,12.07359915,10.28631063,-0.000585741,-0.22954522,-0.053708459,-0.087299883,-0.008556795,0.003336628,12.30314437,12.12730761,12.16089903,12.08215594,12.07026252,12.07301341,1.704912925,-0.070606835,,
10,11.113,12.07428649,10.28646963,-0.010154789,-0.024885935,-0.03555089,0.1069574,-0.025643747,0.036746364,12.09917242,12.10983738,11.96732909,12.09993023,12.03754012,12.0641317,1.704869455,-0.070656444,,
10,11.114,12.07497386,10.28662866,0.053946322,-0.281070242,0.096793652,-0.060537581,-0.024717943,-0.055852382,12.35604411,11.97818021,12.13551145,12.09969181,12.13082625,12.12892019,1.697835484,-0.069986708,,
10,11.115,12.07566124,10.28678773,-0.001752793,0.003948322,0.008639863,-0.004227443,0.007911244,-0.031787085,12.07171292,12.06702138,12.07988869,12.06775,12.10744833,12.07390845,1.704861296,-0.070600308,,
10,11.116,12.07634862,10.28694682,0.039112713,0.027446527,-0.005365142,0.044742096,0.098841922,-0.006532998,12.04890209,12.08171376,12.03160652,11.9775067,12.08288162,12.11546133,1.699154675,-0.070123894,,
10,11.117,12.077036,10.28710595,0.026803984,0.026379395,0.032170503,0.074384623,0.030463743,-0.092787263,12.0506566,12.04486549,12.00265137,12.04657225,12.16982326,12.10383998,1.700537592,-0.070248922,,
10,11.118,12.07772337,10.28726511,0.043151854,0.059409181,-0.011224588,-0.02094459,-0.003092428,-0.057472988,12.01831419,12.08894796,12.09866796,12.0808158,12.13519636,12.12087523,1.697979054,-0.070042235,,
10,11.119,12.07841079,10.2874243,0.00970259,-0.144012405,-0.122946791,-0.000435816,-0.06384981,-0.074816523,12.2224232,12.20135758,12.07884661,12.1422606,12.15322731,12.08811338,1.702999577,-0.070441437,,
10,11.12,12.07909823,10.28758352,-0.001858246,-0.006433173,-0.034765283,-0.167156501,-0.049177633,0.036884005,12.0855314,12.11386351,12.24625473,12.12827586,12.04221422,12.07723998,1.704273036,-0.07055646,,
10,11.121,12.07978566,10.28774278,-0.044963273,-0.08158753,-0.16690184,-0.033839132,0.046013416,0.037806712,12.16137319,12.2466875,12.1136248,12.03377225,12.04197895,12.03482239,1.710093857,-0.071045967,,
10,11.122,12.08047312,10.28790206,0.000147815,-0.009053818,0.168213297,0.002377039,0.064081801,0.101195455,12.08952694,11.91225982,12.07809608,12.01639132,11.97927766,12.08062093,1.703631672,-0.070511564,,
10,11.123,12.08116058,10.28806138,-0.027364265,-0.152249418,-0.01837149,0.016817248,0.016436093,-0.052581926,12.23340999,12.09953207,12.06434333,12.06472448,12.1337425,12.05379631,1.707894659,-0.070841906,,
10,11.124,12.08184803,10.28822073,-0.013517997,-0.186694848,-0.041943373,0.012139139,0.062874377,0.022283493,12.26854288,12.1237914,12.06970889,12.01897365,12.05956454,12.06833003,1.704779343,-0.070631834,,
